video_id,url,title,channel,status,source,chars
CbTU92pbDKw,https://www.youtube.com/watch?v=CbTU92pbDKw,Stock Price Prediction & Forecasting with LSTM Neural Networks in Python,Greg Hogg,ok,ytdlp,31454
W4kqEvGI4Lg,https://www.youtube.com/watch?v=W4kqEvGI4Lg,Machine learning - Python Programming for Finance p.12,sentdex,ok,ytdlp,14971
gyE3bYPsvu8,https://www.youtube.com/watch?v=gyE3bYPsvu8,How To Build a Machine Learning Trading Indicator in Python (Step-by-Step),Python trading channel,ok,ytdlp,17347
D9sU1hLT0QY,https://www.youtube.com/watch?v=D9sU1hLT0QY,Reinforcement Learning for Trading Tutorial | $GME RL Python Trading,Nicholas Renotte,ok,ytdlp,38492
q-Uw9gC3D4o,https://www.youtube.com/watch?v=q-Uw9gC3D4o,Custom Indicators for Reinforcement Learning Trading | $GME Python PT2,Nicholas Renotte,ok,ytdlp,29574
oW4hgB1vIoY,https://www.youtube.com/watch?v=oW4hgB1vIoY,Reinforcement Learning Trading Bot in Python | Train an AI Agent on Forex (EURUSD),Python ML channel,ok,ytdlp,18916
rRssY6FrTvU,https://www.youtube.com/watch?v=rRssY6FrTvU,Q Learning for Trading,sentdex,ok,ytdlp,9073
pbsqkaqc3FM,https://www.youtube.com/watch?v=pbsqkaqc3FM,I Trained An AI To Trade Stocks (Using Reinforcement Learning),AI trading channel,ok,ytdlp,41710
arydWPLDnEc,https://www.youtube.com/watch?v=arydWPLDnEc,TensorFlow 2.0 Tutorial for Beginners 16 - Google Stock Price Prediction Using RNN-LSTM,TensorFlow tutorial channel,ok,ytdlp,33193
E9do8wvsP5A,https://www.youtube.com/watch?v=E9do8wvsP5A,Stock Price Prediction using Deep Learning | Great Learning,Great Learning,ok,ytdlp,84168
94PlBzgeq90,https://www.youtube.com/watch?v=94PlBzgeq90,LSTM Time Series Forecasting with TensorFlow & Python - Step-by-Step,The Nerd Nook,ok,ytdlp,36524
ftMq5ps503w,https://www.youtube.com/watch?v=ftMq5ps503w,How to Predict Stock Prices Easily - Intro to Deep Learning #7,Siraj Raval,ok,ytdlp,10530
xfzGZB4HhEE,https://www.youtube.com/watch?v=xfzGZB4HhEE,Algorithmic Trading Using Python - Full Course,freeCodeCamp (Nick McCullum),ok,ytdlp,258719
b72YHbnPMHQ,https://www.youtube.com/watch?v=b72YHbnPMHQ,How to use ChatGPT for Stock Analysis: FULL Tutorial 2025 | NotebookLM,Financially Free,no_transcript,,0
2Et4Ao6usbA,https://www.youtube.com/watch?v=2Et4Ao6usbA,ChatGPT Just Changed the Stock Market Forever! (Tutorial),AI Answers,ok,ytdlp,40400
Jd_AaTPYFUM,https://www.youtube.com/watch?v=Jd_AaTPYFUM,How To Analyse Stocks With o1-Preview (ChatGPT o1 Stock Analysis Tutorial),The Finance Value Guy,ok,ytdlp,14497
